              depresd       lessint     moodelev      curdepr     curenjoy
smsocd    0.0067201334  0.0066030612  0.0461320537  0.041031986  0.8530246990
             smshallu       smsior     smsdelus       smsocd
depresd   0.011669839  0.013593958  0.010275869  0.020390628
lessint  -0.008959413 -0.008746296 -0.003487033 -0.007445790
moodelev  0.035533509  0.041850921  0.036131356  0.044403726
curdepr   0.020717880  0.018433003  0.020377030  0.026559745
curenjoy  0.043561473  0.040394366  0.046568566  0.045569445
curmania  0.027206195  0.026425480  0.026823586  0.036319379
abnirrit  0.033458803  0.034094867  0.034787838  0.035669950
curirrit  0.051436245  0.046735162  0.051429672  0.053610504
abnanx    0.034678719  0.044384549  0.038368936  0.051383652
deprmd   -0.007605169 -0.006079334 -0.001514454 -0.004728651
depsleep  0.016131678  0.016519316  0.015009016  0.015332299
depinter  0.070245139  0.076857138  0.070250685  0.072676256
depguilt  0.067037398  0.073814533  0.066109738  0.076903706
depse     0.077140137  0.062126336  0.072727144  0.067626416
depenerg  0.047603899  0.052443307  0.048345613  0.049294825
depconcn  0.045095055  0.056479296  0.063172081  0.059248485
depdist   0.070925304  0.053917738  0.081382267  0.062811857
depappet  0.038644338  0.042690840  0.029909012  0.040104409
deppmr    0.042622274  0.047450229  0.051350080  0.048767729
deppma    0.072209067  0.061695394  0.079561008  0.063049422
elvselfe  0.053851149  0.059913802  0.062600368  0.065618481
elvsleep  0.061974914  0.067370392  0.061027498  0.072994583
elvtalk   0.008648743  0.010049484  0.008823447  0.009368854
elvfoi    0.016387194  0.018309076  0.026742475  0.028462757
elvdistr  0.028052171  0.030652750  0.028154809  0.029213055
elvgdact  0.044307425  0.041894553  0.051112965  0.053653508
elvpma    0.067764441  0.053854118  0.067230540  0.066790548
elvhrb    0.035094987  0.026296084  0.029048522  0.042285850
depsi     0.032408107  0.035881586  0.032017317  0.040111848
silnwl    0.004372463  0.004150585  0.002781162  0.006866973
sipassiv  0.004256510  0.004029482  0.002684788  0.006720133
siactive  0.004141452  0.003909710  0.002557276  0.006603061
depslmin  0.048388111  0.046188767  0.049372986  0.046132054
depslmax  0.047858693  0.044362521  0.045639331  0.041031986
smspi     0.830714171  0.914343510  0.826241105  0.853024699
smshallu  1.000000000  0.843696598  0.914181617  0.805487862
smsior    0.843696598  1.000000000  0.842300909  0.886533923
smsdelus  0.914181617  0.842300909  1.000000000  0.812479827
smsocd    0.805487862  0.886533923  0.812479827  1.000000000
