                  tryhsui       deprmd     depsleep  depsleepcat      depinter
ocdsubc      0.080580003  0.10222529  0.099975276  0.0119514545 -0.0925867231
ocdsubp      0.080956239  0.10281011  0.100360180  0.0119545692 -0.0919640218
ptsdcur      0.076788585  0.09306407  0.090724096  0.0123251934 -0.0870791806
ptsdc        0.078406194  0.10034527  0.097823455  0.0111177429 -0.0916585709
ptsdpast     0.076842998  0.09261522  0.090406863  0.0124676763 -0.0870219815
ptsdp        0.078753380  0.10010223  0.097796968  0.0113213939 -0.0908353487
alcdepc      0.079638445  0.09760838  0.094701926  0.0117933173 -0.0907151629
alcdepp      0.080041715  0.09704889  0.094618365  0.0117788144 -0.0906495954
alcabusc     0.077187660  0.09436256  0.091469956  0.0118111872 -0.0894468173
alcabusp     0.077068925  0.09349242  0.090795760  0.0118544639 -0.0896707374
drugdepc     0.077985290  0.10043041  0.097173084  0.0117584508 -0.0921721010
drugdepp     0.078012138  0.09582652  0.092840184  0.0117885878 -0.0929624678
drugabc      0.074575214  0.09306547  0.089570618  0.0118262509 -0.0920422591
drugabp      0.076274378  0.08968749  0.086969928  0.0120333557 -0.0888111378
psychp       0.080432613  0.09480272  0.092502519  0.0109108090 -0.0869909229
bpsychp      0.080475522  0.09830750  0.096228849  0.0108227066 -0.0869838212
ipsychp      0.076884040  0.09213751  0.089121089  0.0104321656 -0.0876907112
psychc       0.080702390  0.09501283  0.092766591  0.0108909947 -0.0861899858
bpsychc      0.080464380  0.09829897  0.096221178  0.0108227718 -0.0869792998
ipsychc      0.080140484  0.09508622  0.092472016  0.0105754271 -0.0868402408
schizc       0.080769318  0.09502839  0.092772359  0.0108850868 -0.0861629433
schizp       0.080776497  0.09503399  0.092777875  0.0108858223 -0.0861369159
schaffc      0.080413519  0.09824398  0.096155789  0.0108315944 -0.0869621398
schaffp      0.080406293  0.09827644  0.096175552  0.0108337991 -0.0869273576
schphrc      0.080429950  0.09830503  0.096219326  0.0108240261 -0.0869972831
schphrp      0.080429950  0.09830503  0.096219326  0.0108240261 -0.0869972831
deldisc      0.080461853  0.09830806  0.096220067  0.0108227718 -0.0869792998
deldisp      0.080470741  0.09831914  0.096225569  0.0108224256 -0.0869995437
psygenc      0.080460094  0.09830115  0.096217130  0.0108229449 -0.0869871612
psygenp      0.080472995  0.09830902  0.096225145  0.0108227066 -0.0869826108
psysubc      0.080432341  0.09830648  0.096221151  0.0108225987 -0.0870074050
psysubp      0.080504265  0.09820973  0.096173775  0.0108402174 -0.0869114586
psynosc      0.080474338  0.09828559  0.096211883  0.0108277010 -0.0870005775
psynosp      0.080521009  0.09831106  0.096239893  0.0108458184 -0.0870951055
moodnosp     0.080748076  0.09504026  0.092783036  0.0108835917 -0.0861975286
deppsyc      0.080682074  0.09504011  0.092778262  0.0108929028 -0.0862393109
deppsyp      0.080696099  0.09507151  0.092815407  0.0109057585 -0.0862036600
